id,title,content,created_at,updated_at,archived,published_at,img,user_id
1,# Comment gérer les remontées acides et brûlures d’estomac ?,"## Des astuces simples tout au long de la journée

Enceinte, quand on souffre de **remontées acides** et de **brûlures d'estomac**, les repas un peu plus copieux et lourds à digérer risquent d'aggraver les symptômes.
<br><br>
![image.png](/images/articles/Comment_gerer_les_remontees_acides_et_brulures__1272dc3e18694cd7b3ec441c9661b66d/image.png)
<br><br>
Il n'est pas toujours facile d'imposer un repas léger lors des repas de fêtes ou réunions de famille, alors, voici **trois astuces pour gérer les repas copieux tout au long de la journée** :

- **PENDANT LE REPAS : Manger doucement par petites quantités**
    
    Pour diminuer le travail de votre estomac et donc les remontées acides, il est conseillé d'éviter de le surcharger. Alors, servez-vous de chaque plat en petites quantités et prenez le temps de bien mâcher. N'hésitez pas à faire des pauses entre les plats. Votre estomac en sera plus heureux :)
<br> <br/> 
- **APRES LE REPAS : Eviter de se coucher directement**
    
    La position allongée accentue les remontées acides, car l'estomac se retrouve au même niveau que l'œsophage, ce qui provoque des reflux. C'est pourquoi, il est recommandé d’attendre 3h après le repas avant de se coucher (ça compte aussi pour la sieste après le déjeuner). Il n'est pas nécessaire de rester debout pendant 3h, mais une position assise
<br><br/> 
- **PENDANT LA NUIT :** **Dormir avec la tête sur-élevée**
    
    Utilisez deux coussins confortables pour soutenir votre tête, cela permettra que l'œsophage et la gorge soit légèrement au-dessus de l'estomac et limitera les reflux pendant la nuit.
    
<br><br><br><br>
<aside>
💡 Le saviez-vous ? 💡

Les **remontées acides** (ou brûlures d’estomac) peuvent être présentes dès le début de la grossesse (y compris quand le fœtus est encore tout petit).

On entend souvent dire que la pression du bébé sur l’estomac crée les remontées acides pendant la grossesse, mais il n’y a pas d’études scientifiques qui le montrent réellement. Les remontées acides sont principalement dues à des modifications hormonales (augmentation de la progestérone).

</aside>",2023-06-10 13:31:38,2023-06-13 07:28:57,0,2023-06-11,/images/articles/comment-gerer-les-remontees-acides-et-brulures-destomac.jpeg,1
2,# Comment (assez) s’hydrater enceinte?,"## ***Boire assez d'eau : un réflexe santé pour maman et bébé !***
<br><br>
Pendant la grossesse, le **volume d'eau dans le corps augmente pour permettre le bon développement du bébé**.

Plus la grossesse avance, plus le volume d'eau accumulé augmente : dans l'utérus et la poitrine qui se développent, dans le liquide amniotique, dans le placenta mais aussi directement par le bébé (*qui à la naissance est constitué à 80% d'eau*).

C'est pourquoi, enceinte, il est recommandé de **bien s'hydrater**. Les besoins en eau sont évalués à 2,5 litres, en considérant qu'environ 1 litre est apporté par les aliments, ce qui laisse minimum **1,5 litre d'eau à consommer sous forme de boissons** (eau, tisanes, etc.).
<br><br>
![image.png](/images/articles/Comment_assez_s_hydrater_enceinte_918f6a27fe1948bfa7aa33f4cdb17e4f/image.png)
<br><br><br><br>
***4 astuces pour bien s’hydrater au quotidien***

1. L'hydratation débute dès **le petit-déjeuner avec une boisson chaude** ou un verre d'eau. Pour les boissons chaudes, plusieurs options : un café léger (pas plus de 3 par jour), un thé (pas plus de 4 par jour) ou une infusion.
2. Pendant les repas, pensez aux **fruits et légumes**, ils contiennent au minimum 80% d'eau. Par exemple, au dîner, avec une assiette de soupe de légumes et une pomme, on apporte déjà **0,4 litre d'eau** !
3. Tout au long de la journée,  prenez une gourde d'environ 1L avec vous, remplissez-la d'eau et **buvez quelques gorgées de temps en temps** (ça aidera aussi à diminuer les nausées et les remontées acides). Essayez de boire avant d'avoir soif !
4. En cette période hivernale (même s'il ne fait pas très froid), vous pouvez boire une **infusion** dans l'après-midi ou le soir après manger (s'il vous reste de la place dans l'estomac). Une tasse apporte 0,25 litre d'eau.
<br><br>

💡 ***Le saviez-vous ?*** 💡

Bien s'hydrater permet aussi de **limiter les troubles digestifs de la grossesse : constipation, remontées acides, nausées.**

En cas de **constipation**, il est conseillé de boire des **eaux minérales naturellement riches en magnésium**, comme l’*Hépar,* la *Contrex* ou la *Courmayeur* pour les eaux plates et la *Rozana*, la *Badoit* et la *Quézac* pour les eaux gazeuses.


<br><br><br><br>
## Eau du robinet ou en bouteille ?

Pas de gagnante ou de perdante entre les deux. Le choix vous appartient en fonction de vos contraintes économiques et écologiques.

![image.png](/images/articles/Comment_assez_s_hydrater_enceinte_918f6a27fe1948bfa7aa33f4cdb17e4f/image%201.png)
<br><br>
### ***Eau du robinet***

La qualité de l'eau du robinet est très contrôlée.

L'eau du robinet subit un traitement (notamment un ajout de chlore) afin de respecter des références de qualité obligatoires. 

Les résultats sur la qualité de l'eau potable sont disponibles en ligne par commune sur le site du Ministère de la Santé. 

Vous pouvez consulter celle de votre commune [ici](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=1c3b8e1d3d&e=308213d68b).
<br><br>
### ***Eau en bouteille***

Les eaux en bouteilles ne peuvent pas être traitées (en utilisant du chlore par exemple). L'avantage de certaines eaux minérales est qu'elles contiennent de fortes quantités de minéraux, à favoriser dans des situations particulières. Par exemple, la Contrex® ou l'Hépar® sont riches en magnésium qui participe à l'amélioration du transit intestinal et limite la constipation.
<br><br>
### ***Carafe filtrante***

Lorsqu'on souhaite consommer de l'eau du robinet en diminuant le goût de chlore, le calcaire, le plomb et les résidus de matières organiques, il est possible d'utiliser une **carafe filtrante**, à condition de : 

- bien nettoyer la carafe et remplacer régulièrement la cartouche (en général toutes les 4 semaines) pour éviter les risques de contamination microbiologique \;
- conserver la carafe filtrante au réfrigérateur et consommer l’eau filtrée rapidement, idéalement dans les 24 heures. Le chlore étant neutralisé, les bactéries peuvent de nouveau se développer.
<br><br>


💡 ***Le saviez-vous ?*** 💡

Toutes les eaux ne peuvent pas être utilisées pour l'alimentation des nourrissons.

Des limites de qualité spécifiques sont à respecter pour que la mention « **convient à l’alimentation des nourrissons** » soit affichée sur l’étiquette des eaux minérales naturelles et de source.

Lorsque bébé sera né, pensez à bien vérifier l'étiquette des eaux en bouteille, si vous souhaitez lui en donner.",2023-06-10 13:31:38,2023-06-13 07:30:15,0,2023-06-12,/images/articles/comment-assez-shydrater-enceinte.jpeg,1
3,# 5 astuces pour mieux gérer les nausées,"Les **nausées** de grossesse sont aussi appelées \""*nausées matinales*\"" car elles apparaissent souvent le matin, lorsqu'on est à jeun. A priori, les nausées devraient être moins fortes avant le repas du midi ou soir, mais au cas où, voici quelques petits conseils :

![Astuce #1 -2.png](/images/articles/5_astuces_pour_mieux_gerer_les_nausees_32d3a26e57a8413f9ed4ca426ad2777e/Astuce_1_-2.png)

<br><br>
- **Boire 1,5 à 2L d'eau par jour**
    
    C’est la première astuce à appliquer ! Les besoins en eau augmentent pendant la grossesse pour bien hydrater maman et bébé. Les nausées et vomissements augmentent le risque de déshydratation. Plus vous êtes déshydratée, plus les nausées sont fortes…
    
    **Buvez régulièrement de l'eau fraîche par petites gorgées** et si possible à distance des repas (30 minutes avant par exemple).
    
    Si cela vous apaise, vous pouvez infuser un peu de gingembre frais dans une bouteille d'eau à boire au fil de la journée.
 <br><br>
- **Privilégier les aliments secs (*surtout le matin au réveil*)**
    
    Au réveil, vous avez le ventre vide, ce qui augmente les nausées. Pensez à avoir des biscottes boudes biscuits secs à côté du lit. Mangez-en 1 ou 2, buvez un peu d’eau et attendez une dizaine de minutes avant de vous lever. Cela devrait diminuer les nausées matinales.
    
    Si les nausées se prolongent dans la journée, prévoyez des biscuits secs ou des biscottes (goût neutre et peu gras) dans votre sac et mangez-en 1 ou 2 quand les nausées se font trop fortes.
<br><br>
- **Fractionner les repas (manger en plus petites quantités plus souvent)**
    
    Pas facile de gérer entre les repas trop copieux qui donnent davantage de travail au système digestif et favorisent les nausées ET le ventre vide qui augmente aussi les nausées…
    
    En pratique, privilégiez des repas légers associés à de petites collations. Idéalement, 3 petits repas (petit-déjeuner, déjeuner et dîner) et 2 collations (une dans la matinée et une dans l’après-midi).
    
    Pour alléger le déjeuner, gardez par exemple votre dessert pour plus tard dans l’après-midi. vous digérerez mieux :)
  <br><br>  
- **Privilégier des aliments “faciles” à digérer**
    
    Lorsque vous consommez des aliments gras, frits ou épicés, le système digestif a davantage de travail, ce qui accentue fortement les nausées. Essayez donc de limiter autant que possible les aliments type pizzas, frites, nuggets, quiches, burgers, burritos, chili, etc… Si vous n’avez pas le choix, mangez-en une petite portion accompagnée de légumes et/ou fruits et d’aliments plus neutres (pain, riz, pâtes).
<br><br>  
- **Essayer le gingembre**
    
    Le gingembre est connu comme plante anti-nauséeuse, efficace contre les nausées matinales de la grossesse. Vous pouvez opter pour des tisanes de gingembre (2 ou 3 par jour), en sachet ou faites maison (gingembre épluché infusé dans l’eau chaude). Dans tous les cas, essayez de privilégier des produits bio.
    
    Si les tisanes ne sont pas efficaces, vous pouvez consommer le gingembre sous forme de gélules, en veillant à bien respecter les conditions d’utilisation. N’hésitez pas à demander conseil à votre pharmacien ou à votre sage-femme ou gynécologue.
    
<br><br>
<aside>
🚨 **Si les nausées sont accompagnées de vomissements trop fréquents, parlez-en au professionnel de santé en charge de votre suivi de grossesse.**

</aside>
<br><br>",2023-06-10 13:31:38,2023-06-13 07:31:18,0,2023-06-12,/images/articles/5-astuces-pour-mieux-gerer-les-nausees.jpeg,1
4,"# Des pâtes complètes, la base d’un plat complet","## ***Des pâtes pour un plat équilibré pendant la grossesse !***

Les **pâtes** ne sont pas un aliment à éviter pendant la grossesse (mis à part en cas d'intolérance au gluten). Au contraire, elles entrent parfaitement dans la composition d'un **plat complet et équilibré pour le déjeuner.**
<br><br>
![image.png](/images/articles/Des_pates_completes__la_base_d_un_plat_complet_3863a3de5ecc4798a4413f978700fd4f/image.png)
<br><br>
### ***Les pâtes complètes, de réels avantages nutritionnels***

La grossesse est le moment idéal pour commencer à consommer des **pâtes complètes** qui apportent beaucoup plus de nutriments. En comparaison avec une assiette de pâtes \""classiques\"", une assiette de pâtes complètes apporte (1,2) :

- **1,7 fois** plus de **fibres**
- **2 fois** plus de **fer, magnésium, phosphore et zinc.**

Et tout ça, pour le même apport en calories, glucides, lipides et protéines !
<br><br>
***Comment composer votre plat équilibré à base de pâtes ?***

1. **Pâtes complètes cuites** : 250 à 300g cuites (soit 80-100g crues)
2. **Sauce aux légumes** : 4 cuillères à soupe (*coulis de tomate, sauce tomate basilic, sauce provençale, sauce napolitaine, sauce arrabiatta*)
3. **Protéines** : *Gruyère* (à râper soi-même) ou filet de *maquereau* au naturel (une boîte) ou *viande hachée* bien cuite (env. 100g) ou *pois chiches* (moitié d'une petite boîte)
<br><br>

💡 ***Le saviez-vous ?*** 💡

Ce qui rend une assiette de pâtes plus riche en calories, graisses et sucres, c'est le type et la quantité de sauce et de fromage qu'on y ajoute.

- Pour un **plat moins riche**, nous vous conseillons **une sauce aux légumes.**
- Si vous choisissez une **sauce à base de crème,** nous vous conseillons d'**ajouter des petits légumes** (brocolis, champignons, courges, épinards, roquette).",2023-06-10 13:31:38,2023-06-12 16:52:12,0,2023-06-12,/images/articles/des-pates-completes-la-base-dun-plat-complet.jpeg,1
5,"# En hiver, soupes et purées pour faire le plein de vitamines","## 🥦 **Les légumes d’hiver les plus vitaminés**

En hiver, on a souvent hâte de retrouver les légumes d’été, pourtant les légumes d’hiver ont également beaucoup d’atouts notamment pour leurs apports en vitamines !
<br><br>
![Capture d’écran 2023-04-06 à 14.58.46.png](/images/articles/En_hiver__soupes_et_purees_pour_faire_le_plein_de_5ccafda8c32348128614d4d6ee2d1961/Capture_dcran_2023-04-06__14.58.46.png)
<br><br>
Voici le **TOP 5** des légumes d’hiver vitaminés :

1. **Les épinards** : palme d’or multivitaminée pour leur richesse en **vitamines A, B9, E et K**. 
2. **Le brocoli** : un des légumes les plus riches en **vitamine C,** il apporte aussi de la **vitamine B9.**
3. **La carotte :** beaucoup de **vitamine A** et un peu de **vitamine B9**, une bonne combinaison ! On pense à la consommer crue pour encore plus de vitamines !
4. **Les courges :** championnes de la vitamine A quelle que soit la variété, alors on alterne potiron, buttenut, potimarron…
5. **Le chou-fleur :** une très bonne source de vitamine B9
<br><br>

🌡️ **Les vitamines A, B, C, et E** sont hydrosolubles, c'est-à-dire qu'elles **se dissolvent dans l'eau.** Lorsque vous cuisez les légumes, privilégiez donc une **cuisson des légumes à la vapeur** pour conserver un maximum de leurs vitamines *(2)*

<br><br>

## **🎟 Se réchauffer avec des soupes et des purées vitaminées**
<br><br>
![image.png](/images/articles/En_hiver__soupes_et_purees_pour_faire_le_plein_de_5ccafda8c32348128614d4d6ee2d1961/image.png)
<br><br>
Idéales en hiver pour se réchauffer, les **soupes** et les **purées** ont l'avantage d'être composées en majorité de légumes.Ça tombe bien, les **légumes de saison** sont riches en **vitamines A, B9 et C,** dont les besoins augmentent pendant la grossesse.

- **Soupe au potiron** : une assiette de 300ml couvre **100%** des apports recommandés en **vitamine A**.
- **Soupe épinards-pomme de terre** : une assiette de 300ml couvre **80%** des apports recommandés pour la **vitamine A** et **25%** pour la **vitamine B9**.
- **Purée de brocolis** : une portion de 150g couvre **100%** des apports recommandés en **vitamine C**.
- **Purée de carottes :** une portion de 150g couvre **100%** des apports recommandés en **vitamine C**.

**L'astuce en plus :** vous pouvez ajouter une cuillère à soupe de *graines de tournesol* sur vos soupes et purées pour ajouter du croquant et augmenter la teneur en vitamine B9.

<br><br>
🛒 Il est préférable de faire sa soupe maison. Mais, si vous manquez de temps et d’énergie (surtout enceinte), vous pouvez acheter des soupes déjà prêtes. Dans ces cas-là, privilégiez :

- une **liste d’ingrédients courte** (sans additifs et arômes),
- une quantité de **40 à 50% de légumes**
- les **bouteilles en verre**.",2023-06-10 13:31:38,2023-06-13 07:54:16,0,2023-06-12,/images/articles/en-hiver-soupes-et-purees-pour-faire-le-plein-de-vitamines.jpeg,1
6,"# Enceinte, on se régale pendant les fêtes","## **🐟 Poissons et fruits de mer : crus, fumés ou en tartare, quelles alternatives ?**

On retrouve souvent du **poisson et des fruits de mer crus, fumés, en tartare ou marinés**, en bouchées apéritives ou en entrées sur les tables de fêtes.

Or, ces aliments sont à **éviter pendant la grossesse** en raison des risques de contaminations bactériennes (*listeria notamment*), et cela peut causer quelques frustrations lorsqu'on est enceinte pendant les fêtes.

Cela ne veut pourtant pas dire qu'il faut se priver d'en manger s'ils sont **bien cuits**.

Alors, nous avons fouillé les sites de cuisine pour trouver **10 idées de recettes d'entrées à base de poisson et fruits de mer cuits**, à consommer enceinte 😊 :

- **[Terrine de Saint-Jacques au saumon et crevettes](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=8a57120abf&e=308213d68b)**
- **[Accras de saumon](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=5863a2477a&e=308213d68b)**
- **[Cupcakes au saumon fumé et fromage frais](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=4d5dc1dc2d&e=308213d68b)**
- **[Bouchées de saumon et poireaux](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=dd2d59704c&e=308213d68b)**
- **[Beignets d'huîtres](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=7e6503e07d&e=308213d68b)**
- **[Huîtres grillées aux épices](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=1ed2483836&e=308213d68b)**
- **[Tapas de Saint-Jacques à la noix de coco](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=c2162c6c70&e=308213d68b)**
- **[Coquilles Saint-Jacques gratinées au parmesan](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=b84c0c0271&e=308213d68b)**

<br><br>

✅ ***Si vous ne mangez pas de poisson ou de fruits de mer***, il existe des alternatives végétales, à retrouver en ligne ou magasins spécialisés, en prenant soin de :

- **limiter les produits à base de soja à un par jour**:  *les alternatives végétales au poisson sont souvent à base de soja.*
- **privilégier les aliments avec des listes d'ingrédients courtes**.

<br><br>
![image.png](/images/articles/Enceinte__on_se_regale_pendant_les_fetes_0f97adc273784617a2a5fcae05984911/image.png)

![image.png](/images/articles/Enceinte__on_se_regale_pendant_les_fetes_0f97adc273784617a2a5fcae05984911/image%201.png)


<br><br>

## ***🎟Le point sur le foie gras et sa (trop) forte teneur en vitamine A***

Le **foie gras et** tous les produits à base de foie contiennent une très grande quantité de vitamine A (*forme présente dans les produits animaux*).

Consommer une trop grande quantité de vitamine A pendant la grossesse présente un risque de malformation pour le bébé.

**100 grammes de foie gras c'est 5400 ug de vitamine A**, soit quasiment 2 fois plus que la limite maximale recommandée, c'est pourquoi il est préférable de **limiter la consommation de foie gras enceinte**.
<br><br>

**En pratique :**

- Il est possible de consommer un petit peu de foie gras cuit dans une préparation, comme par exemple des [**petits soufflés au foie gras**](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=7492e826ea&e=308213d68b) ou des [**madeleines au foie gras truffées**](https://9moisacroquer.us21.list-manage.com/track/click?u=5735560ab50dabc1a7e25bb94&id=318d974cb8&e=308213d68b)
<br><br>

***A noter*** : Les alternatives végétales au foie gras (aussi appelées **faux gras**) retrouvées dans le commerce **contiennent souvent de l'alcool** (*vin blanc, cognac ou whisky*), pensez à bien regarder la liste d'ingrédients.",2023-06-10 13:31:38,2023-06-13 08:18:26,0,2023-06-13,/images/articles/enceinte-on-se-regale-pendant-les-fetes.jpeg,1
7,# Être végétarienne pendant la grossesse,"Le choix d’avoir une ***alimentation végétarienne*** est souvent fait avant la grossesse pour des raisons environnementales ou de bien-être animal. Cette **alimentation peut être compatible avec la grossesse** à condition que les risques de carences soient identifiés et comblés par la prise de compléments alimentaires appropriés.
<br><br>
## Prendre en compte le type d’alimentation végétarienne pour déterminer les nutriments pouvant manquer

Les nutriments qui peuvent manquer dans une alimentation végétarienne sont : la **vitamine B12**, la **vitamine D**, le **calcium**, le **fer**, l’ **iode**, le **zinc** et le **DHA (un omega 3)**.
Les potentielles carences en nutriments dépendent du type d’alimentation végétarienne et des produits animaux qui ne sont pas consommés : ***viande, poisson, oeufs, et produits laitiers***. 
<br><br>
Il est donc **difficile de généraliser des conseils pour une alimentation “végétarienne” pendant la grossesse**.
<br> <br>
Voici quelques grandes lignes sur les **potentiels** manques en certains nutriments en fonction des aliments qui ne sont pas consommés :
1. *Pas de viande* : manque de **fer** et de **vitamine B12**
2. *Pas de poisson* : manque de **vitamine D**, d' **iode** et de **DHA** (uniquement dans les poissons gras)
3. *Pas de viande, ni de poisson* : manque de **zinc**, **fer**, **vitamine B12**, **vitamine D**, **iode** et **DHA** (uniquement dans les poissons gras)
4. *Pas de produits laitiers* : manque de **calcium**
5. *Aucun produit d'origine animale* : tous les vitamines et minéraux cités ci-dessus. Pensez à bien consommer des légumineuses (lentilles, pois chiches, haricots) associées à des céréales pour un apport en protéines suffisant.

<br><br>
## L'alimentation végétarienne n'est pas associée uniquement à des carences

L'alimentation végétarienne a aussi été montrée comme plus riche en folates (vitamine B9) et en fibres, qui sont également des nutriments essentiels pour la santé de la mère et de l'enfant pendant la grossesse. 

<br><br>
**En cas d'alimentation végétarienne pendant la grossesse, n'hésitez pas à vous faire accompagner par votre professionnel de santé et /ou un diététicien, ils vous conseilleront une alimentation adaptée aux besoins de la grossesse tout en respectant vos choix alimentaires. Si nécessaire et en fonction des aliments que vous ne consommez pas, ils pourront vous conseiller des compléments alimentaires adaptés.**",2023-06-10 13:31:38,2023-06-12 17:36:22,0,2023-06-11,/images/articles/etre-vegetarienne-pendant-la-grossesse.jpeg,1
8,"# Le kiwi, atout vitaminé de votre grossesse","## ***🥝Le kiwi, une bombe de vitamines et de fibres !***

Le **kiwi** est un fruit star du mois de janvier. Avec son goût acidulé, il change des pommes et poires, en attendant les bons fruits du printemps (on rêve déjà de l'arrivée des premières fraises). Au-delà du goût, le **kiwi** est un atout nutritionnel pour votre grossesse, car il est très riche en vitamines.
<br><br>
![image.png](/images/articles/Le_kiwi__atout_vitamine_de_votre_grossesse_5a52e2d9c95547899b2617ce55350c6b/image.png)
<br><br>
Pendant la grossesse, **un seul kiwi** (env. 100g) couvre :

- **70 %** des apports recommandés en **vitamine C**.
- **20 %** des apports recommandés en **vitamine K.**
- **15 %** des apports recommandés en **vitamine B3**.
- **10 %** des apports recommandés en **vitamine E**.
<br><br>
🥝***4 idées pour consommer le kiwi***🥝

1. Coupé en 2, on le déguste à la cuillère
2. En petits morceaux dans un yaourt ou un fromage blanc.
3. En smoothie, avec d'autres fruits de votre choix (banane, pomme, etc.)
4. Plus original, dans une sauce vitaminée pour accompagner un poisson blanc (recette ci-dessous)

<br><br>
💡 ***Le saviez-vous ?*** 💡<br>
Le **kiwi** est parfois conseillé pour **réduire la constipation**.
Même s'il y a, pour l'instant, peu d'études sur le sujet, ce serait certains polyphénols (des petites molécules anti-oxydantes) qui produiraient un effet laxatif.",2023-06-10 13:31:38,2023-06-13 08:22:11,0,2023-06-13,/images/articles/le-kiwi-atout-vitamine-de-votre-grossesse.jpeg,1
9,"# Les lentilles, sources de fer mais pas seulement…","## ***Les lentilles, grand bénéfice et petit prix !***
<br><br>
![image.png](/images/articles/Les_lentilles__sources_de_fer_mais_pas_seulement_ff3e00a0e08443208a6999bcb3b4cef5/image.png)
<br><br>
### ***Les lentilles, du fer mais pas seulement***

Les lentilles sont une bonne source de **fer d'origine végétale**, mais aussi de **protéines**, de **fibres** et de **vitamines B3 et B9**. Ces nutriments sont essentiels à votre santé et au bon développement de bébé. 
<br><br>
***A quoi servent ces nutriments pendant la grossesse ?***

1. Le **fer**, dont les réserves diminuent pendant la grossesse, contribue à réduire la fatigue, permet le transport de l'oxygène dans l'organisme (et donc vers le bébé) et permet la formation des globules rouges.
2. Les **vitamines B3 et B9** contribuent aussi à réduire la fatigue et participe au métabolisme énergétique (important pendant la grossesse). De plus, la **vitamine B9** est essentielle car elle participe au développement du foetus pendant la grossesse.
3. Les **fibres** sont les alliées d'un bon transit, donc en cas de constipation, consommer des lentilles peut s'avérer efficace (*certaines femmes sont sujettes à des ballonnements lorsqu'elles consomment trop de légumineuses, comme les lentilles, dans ces cas-là, choisir une autre source de fibres mieux tolérée : fruits cuits, son d'avoine)*
<br><br>
***Une assiette de lentilles c’est :***

Pendant la grossesse, une assiette de lentilles cuites (env. 200g) apporte :

- 30% des apports recommandés en **fer** et en **protéines.**
- 60% des apports recommandés en **fibres.**
- 15% des apports recommandés en **vitamine B9 (folates)**
- 30% des apports recommandés en **vitamine B3**.
<br><br/>


***Comment préparer les lentilles ?***

Vous pouvez acheter des lentilles en conserve, elles peuvent se consommer en plat chaud ou en salade (voir recettes ci-dessous).

Cependant, les **lentilles en conserve contiennent 1,5 fois moins de fer que les lentilles cuites maison**. Si vous souhaitez augmenter vos apports en fer, il est préférable d’acheter des lentilles sèches et de les **cuire 25 minutes dans l’eau bouillante**.

**Bonne nouvelle** ! Il n’est pas nécessaire de faire tremper les lentilles avant de les cuire. Il faut simplement les rincer 2 ou 3 fois sous l’eau froide.
<br><br/>
💡 ***Le saviez-vous ?*** 💡

La **vitamine C** aide à mieux **absorber le fer** d'origine végétale présent dans les lentilles (2).Il est donc conseillé de consommer les lentilles en association avec des aliments riches en vitamine C, par exemple :

- Une **salade de lentilles** assaisonnée avec un **jus de citron** ou une **vinaigrette aux agrumes.**
- Après un **plat chaud avec des lentilles**, consommer un fruit riche en vitamine C : **kiwi, orange, mandarine**...",2023-06-10 13:31:38,2023-06-13 08:23:27,0,2023-06-13,/images/articles/les-lentilles-sources-de-fer-mais-pas-seulement.jpeg,1
10,"Le potiron, légume d'automne allié de votre grossesse","Comme tous les légumes, le potiron contient des **fibres**, des **minéraux** et des **vitamines** (surtout de ***la vitamine A***) essentiels au déroulement de votre grossesse, à votre santé et à celle de votre bébé.
<br><br>
![Untitled](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/Untitled.png)
<br><br>
![Untitled](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/Untitled%201.png)
<br><br>
## **🎟*Le point nutrition sur la vitamine A***
<br><br>
![image.png](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/image.png)
<br><br>
![image.png](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/image%201.png)
<br><br><br><br>
                                      **Quels aliments pour vos apports en vitamine A ?**
<br><br>
![image.png](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/image%202.png)
<br><br>
![image.png](/images/articles/Potiron__une_source_de_vitamine_A_f49bf42037d54ec69b3c401351a2a49f/image%203.png)
<br><br>
<aside>
⚠️ Enceinte, il est préférable de **limiter la consommation de foie et produits dérivés**

Le **foie et produits à base de foie** contiennent une très forte quantité de vitamine A (*uniquement la forme présente dans les produits animaux*), ce *qui présente un risque de malformation pour le bébé.*

</aside>",2023-06-10 13:31:38,2023-12-08 17:21:14,0,2023-06-13,/images/articles/potiron-une-source-de-vitamine-A.jpeg,1
